Scoring_Weight_Regime	4
Scoring_Weight_RiskReward	4
Scoring_Weight_Spread	4
Scoring_Weight_Structure	4
Scoring_Weight_Trend	4
Scoring_Weight_Volatility	4
Signal_Cadence_Mode	9
Signal_Check_Seconds	17
Signal_Cooldown_Bars	7
Signal_TF	97
Skip_MinLot_Overrisk	5
Soft_Gate_Extra_RR	7
Soft_Gate_Min_HTF_Bias_Score	7
Strategy_Mix	24
Strategy_Routing_Mode	2
Strong_Trend_ADX_Level	3
Symbols_List	3
Telegram_Chat_ID	4
Telegram_Token	4
Trade_Only_Chart_Symbol	2
Trend_Lookback_Bars	8
Trend_Strength_Threshold	3
Trend_TF	14
Universe	1
Use_Advanced_OB_Detection	3
Use_ADX_For_Trend	3
Use_External_AI_DLL	4
Use_FVG_Detection	3
Use_Pending_Orders	3
Use_Session_Filter	4
Use_Trend_Filter	4
Verbosity	1
Volatility_Lookback_Long	3
Volatility_Lookback_Short	3
Weak_Trend_ADX_Level	3
